Data,Produto,Inicial,Vendidos,Quebra,% Quebra,Estoque Final,Filial,Lucro Bruto
2025-03-01,EMPADA DE CARNE,,0.0,0.0,0.0,,1,0.0
2025-03-01,BAGUETE DE PRESUNTO E QUEIJO,,0.0,0.0,0.0,,1,0.0
2025-03-01,PAO DE QUEIJO JA ASSADO RECHEADO 60G,,0.0,0.0,0.0,,1,0.0
2025-03-01,EMPADA FOLHADA DE FRANGO COM REQUEIJAO,,10.0,11.0,52.38,,1,-14.049999999999995
2025-03-01,EMPADA FOLHADA MULTIGRAOS DE ALHO PORO,,0.0,0.0,0.0,,1,0.0
2025-03-01,DONUT BALL NEVADA COM DOCE DE LEITE,,0.0,0.0,0.0,,1,0.0
2025-03-01,BAGUETE DE FRANGO,,3.0,8.0,72.73,,1,-21.51
2025-03-01,PAO DE QUEIJO MULTIGRAOS,,0.0,0.0,0.0,,1,0.0
2025-03-01,FAGOTTO DE CALABRESA COM CHEDDAR,,20.0,2.0,9.09,,1,77.92000000000002
2025-03-01,FAGOTTO DE CARNE,,19.0,10.0,34.48,,1,29.15000000000001
2025-03-01,FOLHADO DE PRESUNTO E QUEIJO,,3.0,4.0,57.14,,1,-4.68
2025-03-01,CACHORRO QUENTE DE FORNO 160G,,9.0,4.0,30.77,,1,19.349999999999994
2025-03-01,PAO DE QUEIJO SUPER LANCHE,,362.0,110.0,23.31,,1,582.2600000000002
2025-03-01,RISOLES DE FRANGO,,0.0,0.0,0.0,,1,0.0
2025-03-01,TORTINHA DE CARNE 100G,,0.0,0.0,0.0,,1,0.0
2025-03-01,PASTEL DE NATA 60G,,0.0,0.0,0.0,,1,0.0
2025-03-01,EMPANADA DE FRANGO 140G,,10.0,23.0,69.7,,1,-43.75
2025-03-01,EMPADA DE FRANGO,,0.0,0.0,0.0,,1,0.0
2025-03-01,PAO DE QUEIJO LANCHE JA ASSADO 60G,,0.0,0.0,0.0,,1,0.0
2025-03-01,COXINHA DE FRANGO COM REQUEIJAO,,0.0,2.0,100.0,,1,-8.5
2025-03-01,MEDIALUNA DE MANTEIGA 40G,,0.0,0.0,0.0,,1,0.0
2025-03-01,FOLHADO DE PEITO DE PERU COM QUEIJO,,13.0,6.0,31.58,,1,41.71000000000001
2025-03-01,DONUT DE CHOCOLATE AO LEITE 75G,,0.0,0.0,0.0,,1,0.0
2025-03-01,DONUT CRCTE DOCE DE LEITE 75G,,0.0,0.0,0.0,,1,0.0
2025-03-01,DONUT FRUTAS VERMELHAS 75G,,0.0,0.0,0.0,,1,0.0
2025-02-01,EMPADA DE CARNE,,0.0,0.0,0.0,,1,0.0
2025-02-01,BAGUETE DE PRESUNTO E QUEIJO,,0.0,0.0,0.0,,1,0.0
2025-02-01,PAO DE QUEIJO JA ASSADO RECHEADO 60G,,0.0,0.0,0.0,,1,0.0
2025-02-01,EMPADA FOLHADA DE FRANGO COM REQUEIJAO,,11.0,6.0,35.29,,1,14.739999999999997
2025-02-01,EMPADA FOLHADA MULTIGRAOS DE ALHO PORO,,0.0,0.0,0.0,,1,0.0
2025-02-01,DONUT BALL NEVADA COM DOCE DE LEITE,,0.0,0.0,0.0,,1,0.0
2025-02-01,BAGUETE DE FRANGO,,4.0,7.0,63.64,,1,-11.519999999999996
2025-02-01,PAO DE QUEIJO MULTIGRAOS,,0.0,0.0,0.0,,1,0.0
2025-02-01,FAGOTTO DE CALABRESA COM CHEDDAR,,16.0,4.0,20.0,,1,49.040000000000006
2025-02-01,FAGOTTO DE CARNE,,15.0,8.0,34.78,,1,22.43
2025-02-01,FOLHADO DE PRESUNTO E QUEIJO,,7.0,5.0,41.67,,1,10.53
2025-02-01,CACHORRO QUENTE DE FORNO 160G,,11.0,8.0,42.11,,1,4.609999999999999
2025-02-01,PAO DE QUEIJO SUPER LANCHE,,254.0,120.0,32.09,,1,313.9200000000001
2025-02-01,RISOLES DE FRANGO,,0.0,0.0,0.0,,1,0.0
2025-02-01,TORTINHA DE CARNE 100G,,0.0,0.0,0.0,,1,0.0
2025-02-01,PASTEL DE NATA 60G,,0.0,0.0,0.0,,1,0.0
2025-02-01,EMPANADA DE FRANGO 140G,,18.0,7.0,28.0,,1,60.56999999999999
2025-02-01,EMPADA DE FRANGO,,2.0,0.0,0.0,,1,10.7
2025-02-01,PAO DE QUEIJO LANCHE JA ASSADO 60G,,0.0,0.0,0.0,,1,0.0
2025-02-01,COXINHA DE FRANGO COM REQUEIJAO,,3.0,1.0,25.0,,1,12.97
2025-02-01,MEDIALUNA DE MANTEIGA 40G,,0.0,0.0,0.0,,1,0.0
2025-02-01,FOLHADO DE PEITO DE PERU COM QUEIJO,,13.0,14.0,51.85,,1,4.590000000000018
2025-02-01,DONUT DE CHOCOLATE AO LEITE 75G,,0.0,0.0,0.0,,1,0.0
2025-02-01,DONUT CRCTE DOCE DE LEITE 75G,,0.0,0.0,0.0,,1,0.0
2025-02-01,DONUT FRUTAS VERMELHAS 75G,,0.0,0.0,0.0,,1,0.0
2025-01-01,EMPADA DE CARNE,,0.0,0.0,0.0,,1,0.0
2025-01-01,BAGUETE DE PRESUNTO E QUEIJO,,0.0,0.0,0.0,,1,0.0
2025-01-01,PAO DE QUEIJO JA ASSADO RECHEADO 60G,,0.0,0.0,0.0,,1,0.0
2025-01-01,EMPADA FOLHADA DE FRANGO COM REQUEIJAO,,8.0,16.0,66.67,,1,-46.88000000000001
2025-01-01,EMPADA FOLHADA MULTIGRAOS DE ALHO PORO,,0.0,0.0,0.0,,1,0.0
2025-01-01,DONUT BALL NEVADA COM DOCE DE LEITE,,0.0,0.0,0.0,,1,0.0
2025-01-01,BAGUETE DE FRANGO,,4.0,8.0,66.67,,1,-16.199999999999996
2025-01-01,PAO DE QUEIJO MULTIGRAOS,,0.0,0.0,0.0,,1,0.0
2025-01-01,FAGOTTO DE CALABRESA COM CHEDDAR,,23.0,5.0,17.86,,1,74.65
2025-01-01,FAGOTTO DE CARNE,,12.0,17.0,58.62,,1,-40.78
2025-01-01,FOLHADO DE PRESUNTO E QUEIJO,,12.0,8.0,40.0,,1,20.879999999999995
2025-01-01,CACHORRO QUENTE DE FORNO 160G,,8.0,6.0,42.86,,1,2.239999999999995
2025-01-01,PAO DE QUEIJO SUPER LANCHE,,207.0,149.0,41.85,,1,142.67000000000007
2025-01-01,RISOLES DE FRANGO,,0.0,0.0,0.0,,1,0.0
2025-01-01,TORTINHA DE CARNE 100G,,0.0,0.0,0.0,,1,0.0
2025-01-01,PASTEL DE NATA 60G,,0.0,0.0,0.0,,1,0.0
2025-01-01,EMPANADA DE FRANGO 140G,,9.0,15.0,62.5,,1,-16.289999999999992
2025-01-01,EMPADA DE FRANGO,,0.0,0.0,0.0,,1,0.0
2025-01-01,PAO DE QUEIJO LANCHE JA ASSADO 60G,,0.0,0.0,0.0,,1,0.0
2025-01-01,COXINHA DE FRANGO COM REQUEIJAO,,1.0,3.0,75.0,,1,-7.01
2025-01-01,MEDIALUNA DE MANTEIGA 40G,,0.0,0.0,0.0,,1,0.0
2025-01-01,FOLHADO DE PEITO DE PERU COM QUEIJO,,0.0,4.0,100.0,,1,-18.56
2025-01-01,DONUT DE CHOCOLATE AO LEITE 75G,,0.0,0.0,0.0,,1,0.0
2025-01-01,DONUT CRCTE DOCE DE LEITE 75G,,0.0,0.0,0.0,,1,0.0
2025-01-01,DONUT FRUTAS VERMELHAS 75G,,0.0,0.0,0.0,,1,0.0
2025-04-01,EMPADA DE CARNE,,0.0,0.0,0.0,,1,0.0
2025-04-01,BAGUETE DE PRESUNTO E QUEIJO,,0.0,0.0,0.0,,1,0.0
2025-04-01,PAO DE QUEIJO JA ASSADO RECHEADO 60G,,0.0,0.0,0.0,,1,0.0
2025-04-01,EMPADA FOLHADA DE FRANGO COM REQUEIJAO,,0.0,0.0,0.0,,1,0.0
2025-04-01,EMPADA FOLHADA MULTIGRAOS DE ALHO PORO,,0.0,0.0,0.0,,1,0.0
2025-04-01,DONUT BALL NEVADA COM DOCE DE LEITE,,0.0,0.0,0.0,,1,0.0
2025-04-01,BAGUETE DE FRANGO,,0.0,0.0,0.0,,1,0.0
2025-04-01,PAO DE QUEIJO MULTIGRAOS,,0.0,0.0,0.0,,1,0.0
2025-04-01,FAGOTTO DE CALABRESA COM CHEDDAR,,423.0,111.0,20.79,,1,1267.4100000000003
2025-04-01,FAGOTTO DE CARNE,,8.0,12.0,60.0,,1,-30.879999999999995
2025-04-01,FOLHADO DE PRESUNTO E QUEIJO,,29.0,15.0,34.09,,1,71.90999999999997
2025-04-01,CACHORRO QUENTE DE FORNO 160G,,1.0,9.0,90.0,,1,-50.21
2025-04-01,PAO DE QUEIJO SUPER LANCHE,,39.0,13.0,25.0,,1,60.19000000000001
2025-04-01,RISOLES DE FRANGO,,0.0,0.0,0.0,,1,0.0
2025-04-01,TORTINHA DE CARNE 100G,,0.0,0.0,0.0,,1,0.0
2025-04-01,PASTEL DE NATA 60G,,0.0,0.0,0.0,,1,0.0
2025-04-01,EMPANADA DE FRANGO 140G,,2.0,8.0,80.0,,1,-22.52
2025-04-01,EMPADA DE FRANGO,,2.0,12.0,85.71,,1,-44.97999999999999
2025-04-01,PAO DE QUEIJO LANCHE JA ASSADO 60G,,0.0,7.0,100.0,,1,-18.9
2025-04-01,COXINHA DE FRANGO COM REQUEIJAO,,18.0,22.0,55.0,,1,9.819999999999991
2025-04-01,MEDIALUNA DE MANTEIGA 40G,,0.0,0.0,0.0,,1,0.0
2025-04-01,FOLHADO DE PEITO DE PERU COM QUEIJO,,17.0,13.0,43.33,,1,30.630000000000024
2025-04-01,DONUT DE CHOCOLATE AO LEITE 75G,,1.0,0.0,0.0,,1,4.69
2025-04-01,DONUT CRCTE DOCE DE LEITE 75G,,20.0,7.0,25.93,,1,56.70000000000002
2025-04-01,DONUT FRUTAS VERMELHAS 75G,,0.0,0.0,0.0,,1,0.0
2025-05-01,EMPADA DE CARNE,,0.0,0.0,0.0,,1,0.0
2025-05-01,BAGUETE DE PRESUNTO E QUEIJO,,0.0,0.0,0.0,,1,0.0
2025-05-01,PAO DE QUEIJO JA ASSADO RECHEADO 60G,,0.0,0.0,0.0,,1,0.0
2025-05-01,EMPADA FOLHADA DE FRANGO COM REQUEIJAO,,0.0,0.0,0.0,,1,0.0
2025-05-01,EMPADA FOLHADA MULTIGRAOS DE ALHO PORO,,0.0,0.0,0.0,,1,0.0
2025-05-01,DONUT BALL NEVADA COM DOCE DE LEITE,,0.0,0.0,0.0,,1,0.0
2025-05-01,BAGUETE DE FRANGO,,0.0,0.0,0.0,,1,0.0
2025-05-01,PAO DE QUEIJO MULTIGRAOS,,0.0,0.0,0.0,,1,0.0
2025-05-01,FAGOTTO DE CALABRESA COM CHEDDAR,,300.0,147.0,32.89,,1,520.6199999999999
2025-05-01,FAGOTTO DE CARNE,,14.0,13.0,48.15,,1,-9.72
2025-05-01,FOLHADO DE PRESUNTO E QUEIJO,,25.0,12.0,32.43,,1,66.6
2025-05-01,CACHORRO QUENTE DE FORNO 160G,,0.0,6.0,100.0,,1,-36.72
2025-05-01,PAO DE QUEIJO SUPER LANCHE,,28.0,14.0,33.33,,1,32.900000000000006
2025-05-01,RISOLES DE FRANGO,,0.0,0.0,0.0,,1,0.0
2025-05-01,TORTINHA DE CARNE 100G,,0.0,0.0,0.0,,1,0.0
2025-05-01,PASTEL DE NATA 60G,,0.0,0.0,0.0,,1,0.0
2025-05-01,EMPANADA DE FRANGO 140G,,2.0,2.0,50.0,,1,1.7800000000000011
2025-05-01,EMPADA DE FRANGO,,3.0,4.0,57.14,,1,-2.509999999999998
2025-05-01,PAO DE QUEIJO LANCHE JA ASSADO 60G,,0.0,2.0,100.0,,1,-5.4
2025-05-01,COXINHA DE FRANGO COM REQUEIJAO,,13.0,12.0,48.0,,1,23.620000000000005
2025-05-01,MEDIALUNA DE MANTEIGA 40G,,0.0,0.0,0.0,,1,0.0
2025-05-01,FOLHADO DE PEITO DE PERU COM QUEIJO,,17.0,11.0,39.29,,1,39.910000000000025
2025-05-01,DONUT DE CHOCOLATE AO LEITE 75G,,1.0,0.0,0.0,,1,4.69
2025-05-01,DONUT CRCTE DOCE DE LEITE 75G,,24.0,13.0,35.14,,1,43.66
2025-05-01,DONUT FRUTAS VERMELHAS 75G,,0.0,0.0,0.0,,1,0.0
2025-06-01,EMPADA DE CARNE,,0.0,0.0,0.0,,1,0.0
2025-06-01,BAGUETE DE PRESUNTO E QUEIJO,,0.0,0.0,0.0,,1,0.0
2025-06-01,PAO DE QUEIJO JA ASSADO RECHEADO 60G,,0.0,0.0,0.0,,1,0.0
2025-06-01,EMPADA FOLHADA DE FRANGO COM REQUEIJAO,,0.0,0.0,0.0,,1,0.0
2025-06-01,EMPADA FOLHADA MULTIGRAOS DE ALHO PORO,,0.0,0.0,0.0,,1,0.0
2025-06-01,DONUT BALL NEVADA COM DOCE DE LEITE,,0.0,0.0,0.0,,1,0.0
2025-06-01,BAGUETE DE FRANGO,,0.0,0.0,0.0,,1,0.0
2025-06-01,PAO DE QUEIJO MULTIGRAOS,,0.0,0.0,0.0,,1,0.0
2025-06-01,FAGOTTO DE CALABRESA COM CHEDDAR,,293.0,71.0,19.51,,1,910.5100000000002
2025-06-01,FAGOTTO DE CARNE,,19.0,14.0,42.42,,1,6.990000000000009
2025-06-01,FOLHADO DE PRESUNTO E QUEIJO,,32.0,1.0,3.03,,1,156.33
2025-06-01,CACHORRO QUENTE DE FORNO 160G,,0.0,4.0,100.0,,1,-24.48
2025-06-01,PAO DE QUEIJO SUPER LANCHE,,31.0,15.0,32.61,,1,37.53
2025-06-01,RISOLES DE FRANGO,,0.0,0.0,0.0,,1,0.0
2025-06-01,TORTINHA DE CARNE 100G,,0.0,0.0,0.0,,1,0.0
2025-06-01,PASTEL DE NATA 60G,,0.0,0.0,0.0,,1,0.0
2025-06-01,EMPANADA DE FRANGO 140G,,3.0,9.0,75.0,,1,-21.629999999999995
2025-06-01,EMPADA DE FRANGO,,4.0,0.0,0.0,,1,21.4
2025-06-01,PAO DE QUEIJO LANCHE JA ASSADO 60G,,0.0,2.0,100.0,,1,-5.4
2025-06-01,COXINHA DE FRANGO COM REQUEIJAO,,13.0,17.0,56.67,,1,2.3700000000000045
2025-06-01,MEDIALUNA DE MANTEIGA 40G,,0.0,0.0,0.0,,1,0.0
2025-06-01,FOLHADO DE PEITO DE PERU COM QUEIJO,,30.0,9.0,23.08,,1,118.74
2025-06-01,DONUT DE CHOCOLATE AO LEITE 75G,,2.0,0.0,0.0,,1,9.38
2025-06-01,DONUT CRCTE DOCE DE LEITE 75G,,23.0,7.0,23.33,,1,70.77000000000001
2025-06-01,DONUT FRUTAS VERMELHAS 75G,,0.0,0.0,0.0,,1,0.0
2025-07-01,EMPADA DE CARNE,,0.0,0.0,0.0,,1,0.0
2025-07-01,BAGUETE DE PRESUNTO E QUEIJO,,0.0,0.0,0.0,,1,0.0
2025-07-01,PAO DE QUEIJO JA ASSADO RECHEADO 60G,,0.0,0.0,0.0,,1,0.0
2025-07-01,EMPADA FOLHADA DE FRANGO COM REQUEIJAO,,0.0,0.0,0.0,,1,0.0
2025-07-01,EMPADA FOLHADA MULTIGRAOS DE ALHO PORO,,0.0,0.0,0.0,,1,0.0
2025-07-01,DONUT BALL NEVADA COM DOCE DE LEITE,,0.0,0.0,0.0,,1,0.0
2025-07-01,BAGUETE DE FRANGO,,0.0,0.0,0.0,,1,0.0
2025-07-01,PAO DE QUEIJO MULTIGRAOS,,0.0,0.0,0.0,,1,0.0
2025-07-01,FAGOTTO DE CALABRESA COM CHEDDAR,,388.0,136.0,25.95,,1,973.16
2025-07-01,FAGOTTO DE CARNE,,28.0,9.0,24.32,,1,74.74000000000004
2025-07-01,FOLHADO DE PRESUNTO E QUEIJO,,22.0,12.0,35.29,,1,51.47999999999999
2025-07-01,CACHORRO QUENTE DE FORNO 160G,,1.0,4.0,80.0,,1,-19.61
2025-07-01,PAO DE QUEIJO SUPER LANCHE,,28.0,11.0,28.21,,1,39.53
2025-07-01,RISOLES DE FRANGO,,0.0,0.0,0.0,,1,0.0
2025-07-01,TORTINHA DE CARNE 100G,,0.0,0.0,0.0,,1,0.0
2025-07-01,PASTEL DE NATA 60G,,0.0,0.0,0.0,,1,0.0
2025-07-01,EMPANADA DE FRANGO 140G,,0.0,4.0,100.0,,1,-16.2
2025-07-01,EMPADA DE FRANGO,,2.0,21.0,91.3,,1,-86.74
2025-07-01,PAO DE QUEIJO LANCHE JA ASSADO 60G,,0.0,0.0,0.0,,1,0.0
2025-07-01,COXINHA DE FRANGO COM REQUEIJAO,,19.0,20.0,51.28,,1,24.06
2025-07-01,MEDIALUNA DE MANTEIGA 40G,,0.0,0.0,0.0,,1,0.0
2025-07-01,FOLHADO DE PEITO DE PERU COM QUEIJO,,29.0,10.0,25.64,,1,108.75
2025-07-01,DONUT DE CHOCOLATE AO LEITE 75G,,0.0,0.0,0.0,,1,0.0
2025-07-01,DONUT CRCTE DOCE DE LEITE 75G,,21.0,20.0,48.78,,1,-7.509999999999991
2025-07-01,DONUT FRUTAS VERMELHAS 75G,,0.0,0.0,0.0,,1,0.0
2025-08-01,EMPADA DE CARNE,,0.0,0.0,0.0,,1,0.0
2025-08-01,BAGUETE DE PRESUNTO E QUEIJO,,0.0,0.0,0.0,,1,0.0
2025-08-01,PAO DE QUEIJO JA ASSADO RECHEADO 60G,,0.0,0.0,0.0,,1,0.0
2025-08-01,EMPADA FOLHADA DE FRANGO COM REQUEIJAO,,0.0,0.0,0.0,,1,0.0
2025-08-01,EMPADA FOLHADA MULTIGRAOS DE ALHO PORO,,0.0,0.0,0.0,,1,0.0
2025-08-01,DONUT BALL NEVADA COM DOCE DE LEITE,,0.0,0.0,0.0,,1,0.0
2025-08-01,BAGUETE DE FRANGO,,0.0,0.0,0.0,,1,0.0
2025-08-01,PAO DE QUEIJO MULTIGRAOS,,0.0,0.0,0.0,,1,0.0
2025-08-01,FAGOTTO DE CALABRESA COM CHEDDAR,,427.0,99.0,18.82,,1,1351.6900000000005
2025-08-01,FAGOTTO DE CARNE,,32.0,6.0,15.79,,1,109.16
2025-08-01,FOLHADO DE PRESUNTO E QUEIJO,,0.0,0.0,0.0,,1,0.0
2025-08-01,CACHORRO QUENTE DE FORNO 160G,,0.0,2.0,100.0,,1,-12.24
2025-08-01,PAO DE QUEIJO SUPER LANCHE,,45.0,14.0,23.73,,1,71.66000000000003
2025-08-01,RISOLES DE FRANGO,,0.0,0.0,0.0,,1,0.0
2025-08-01,TORTINHA DE CARNE 100G,,0.0,0.0,0.0,,1,0.0
2025-08-01,PASTEL DE NATA 60G,,0.0,0.0,0.0,,1,0.0
2025-08-01,EMPANADA DE FRANGO 140G,,0.0,0.0,0.0,,1,0.0
2025-08-01,EMPADA DE FRANGO,,0.0,5.0,100.0,,1,-23.2
2025-08-01,PAO DE QUEIJO LANCHE JA ASSADO 60G,,0.0,0.0,0.0,,1,0.0
2025-08-01,COXINHA DE FRANGO COM REQUEIJAO,,21.0,18.0,46.15,,1,44.03999999999999
2025-08-01,MEDIALUNA DE MANTEIGA 40G,,0.0,0.0,0.0,,1,0.0
2025-08-01,FOLHADO DE PEITO DE PERU COM QUEIJO,,26.0,6.0,18.75,,1,111.26000000000002
2025-08-01,DONUT DE CHOCOLATE AO LEITE 75G,,4.0,0.0,0.0,,1,18.76
2025-08-01,DONUT CRCTE DOCE DE LEITE 75G,,34.0,9.0,20.93,,1,111.76000000000002
2025-08-01,DONUT FRUTAS VERMELHAS 75G,,0.0,0.0,0.0,,1,0.0
2025-09-01,EMPADA DE CARNE,,0.0,0.0,0.0,,1,0.0
2025-09-01,BAGUETE DE PRESUNTO E QUEIJO,,0.0,0.0,0.0,,1,0.0
2025-09-01,PAO DE QUEIJO JA ASSADO RECHEADO 60G,,0.0,0.0,0.0,,1,0.0
2025-09-01,EMPADA FOLHADA DE FRANGO COM REQUEIJAO,,0.0,0.0,0.0,,1,0.0
2025-09-01,EMPADA FOLHADA MULTIGRAOS DE ALHO PORO,,0.0,0.0,0.0,,1,0.0
2025-09-01,DONUT BALL NEVADA COM DOCE DE LEITE,,0.0,0.0,0.0,,1,0.0
2025-09-01,BAGUETE DE FRANGO,,0.0,0.0,0.0,,1,0.0
2025-09-01,PAO DE QUEIJO MULTIGRAOS,,0.0,0.0,0.0,,1,0.0
2025-09-01,FAGOTTO DE CALABRESA COM CHEDDAR,,289.0,89.0,23.54,,1,792.9900000000002
2025-09-01,FAGOTTO DE CARNE,,5.0,8.0,61.54,,1,-22.07
2025-09-01,FOLHADO DE PRESUNTO E QUEIJO,,0.0,5.0,100.0,,1,-24.75
2025-09-01,CACHORRO QUENTE DE FORNO 160G,,2.0,5.0,71.43,,1,-20.860000000000003
2025-09-01,PAO DE QUEIJO SUPER LANCHE,,29.0,11.0,27.5,,1,41.81
2025-09-01,RISOLES DE FRANGO,,0.0,0.0,0.0,,1,0.0
2025-09-01,TORTINHA DE CARNE 100G,,0.0,0.0,0.0,,1,0.0
2025-09-01,PASTEL DE NATA 60G,,0.0,0.0,0.0,,1,0.0
2025-09-01,EMPANADA DE FRANGO 140G,,0.0,0.0,0.0,,1,0.0
2025-09-01,EMPADA DE FRANGO,,0.0,5.0,100.0,,1,-23.2
2025-09-01,PAO DE QUEIJO LANCHE JA ASSADO 60G,,0.0,0.0,0.0,,1,0.0
2025-09-01,COXINHA DE FRANGO COM REQUEIJAO,,14.0,7.0,33.33,,1,50.610000000000014
2025-09-01,MEDIALUNA DE MANTEIGA 40G,,0.0,0.0,0.0,,1,0.0
2025-09-01,FOLHADO DE PEITO DE PERU COM QUEIJO,,26.0,13.0,33.33,,1,78.78000000000003
2025-09-01,DONUT DE CHOCOLATE AO LEITE 75G,,2.0,0.0,0.0,,1,9.38
2025-09-01,DONUT CRCTE DOCE DE LEITE 75G,,20.0,10.0,33.33,,1,40.80000000000001
2025-09-01,DONUT FRUTAS VERMELHAS 75G,,0.0,0.0,0.0,,1,0.0
2025-10-01,EMPADA DE CARNE,,0.0,0.0,0.0,,1,0.0
2025-10-01,BAGUETE DE PRESUNTO E QUEIJO,,0.0,0.0,0.0,,1,0.0
2025-10-01,PAO DE QUEIJO JA ASSADO RECHEADO 60G,,0.0,0.0,0.0,,1,0.0
2025-10-01,EMPADA FOLHADA DE FRANGO COM REQUEIJAO,,0.0,0.0,0.0,,1,0.0
2025-10-01,EMPADA FOLHADA MULTIGRAOS DE ALHO PORO,,0.0,0.0,0.0,,1,0.0
2025-10-01,DONUT BALL NEVADA COM DOCE DE LEITE,,0.0,0.0,0.0,,1,0.0
2025-10-01,BAGUETE DE FRANGO,,0.0,0.0,0.0,,1,0.0
2025-10-01,PAO DE QUEIJO MULTIGRAOS,,0.0,0.0,0.0,,1,0.0
2025-10-01,FAGOTTO DE CALABRESA COM CHEDDAR,,382.0,111.0,22.52,,1,1084.9600000000005
2025-10-01,FAGOTTO DE CARNE,,23.0,12.0,34.29,,1,35.870000000000005
2025-10-01,FOLHADO DE PRESUNTO E QUEIJO,,3.0,0.0,0.0,,1,15.119999999999996
2025-10-01,CACHORRO QUENTE DE FORNO 160G,,1.0,9.0,90.0,,1,-50.21
2025-10-01,PAO DE QUEIJO SUPER LANCHE,,34.0,13.0,27.66,,1,48.78999999999999
2025-10-01,RISOLES DE FRANGO,,0.0,0.0,0.0,,1,0.0
2025-10-01,TORTINHA DE CARNE 100G,,0.0,0.0,0.0,,1,0.0
2025-10-01,PASTEL DE NATA 60G,,0.0,0.0,0.0,,1,0.0
2025-10-01,EMPANADA DE FRANGO 140G,,9.0,7.0,43.75,,1,16.11
2025-10-01,EMPADA DE FRANGO,,0.0,11.0,100.0,,1,-51.04
2025-10-01,PAO DE QUEIJO LANCHE JA ASSADO 60G,,0.0,0.0,0.0,,1,0.0
2025-10-01,COXINHA DE FRANGO COM REQUEIJAO,,23.0,9.0,28.12,,1,93.77
2025-10-01,MEDIALUNA DE MANTEIGA 40G,,0.0,0.0,0.0,,1,0.0
2025-10-01,FOLHADO DE PEITO DE PERU COM QUEIJO,,7.0,19.0,73.08,,1,-50.70999999999998
2025-10-01,DONUT DE CHOCOLATE AO LEITE 75G,,4.0,0.0,0.0,,1,18.76
2025-10-01,DONUT CRCTE DOCE DE LEITE 75G,,26.0,7.0,21.21,,1,84.84
2025-10-01,DONUT FRUTAS VERMELHAS 75G,,0.0,0.0,0.0,,1,0.0
2025-11-01,EMPADA DE CARNE,,0.0,0.0,0.0,,001,0.0
2025-11-01,BAGUETE DE PRESUNTO E QUEIJO,,0.0,0.0,0.0,,001,0.0
2025-11-01,PAO DE QUEIJO JA ASSADO RECHEADO 60G,,0.0,0.0,0.0,,001,0.0
2025-11-01,EMPADA FOLHADA DE FRANGO COM REQUEIJAO,,0.0,0.0,0.0,,001,0.0
2025-11-01,EMPADA FOLHADA MULTIGRAOS DE ALHO PORO,,0.0,0.0,0.0,,001,0.0
2025-11-01,DONUT BALL NEVADA COM DOCE DE LEITE,,0.0,0.0,0.0,,001,0.0
2025-11-01,BAGUETE DE FRANGO,,0.0,0.0,0.0,,001,0.0
2025-11-01,PAO DE QUEIJO MULTIGRAOS,,0.0,0.0,0.0,,001,0.0
2025-11-01,FAGOTTO DE CALABRESA COM CHEDDAR,,239.0,84.0,26.01,,001,598.19
2025-11-01,FAGOTTO DE CARNE,,15.0,11.0,42.31,,001,5.810000000000002
2025-11-01,FOLHADO DE PRESUNTO E QUEIJO,,0.0,0.0,0.0,,001,0.0
2025-11-01,CACHORRO QUENTE DE FORNO 160G,,9.0,13.0,59.09,,001,-35.73000000000002
2025-11-01,PAO DE QUEIJO SUPER LANCHE,,25.0,15.0,37.5,,001,23.849999999999994
2025-11-01,RISOLES DE FRANGO,,0.0,0.0,0.0,,001,0.0
2025-11-01,TORTINHA DE CARNE 100G,,0.0,0.0,0.0,,001,0.0
2025-11-01,PASTEL DE NATA 60G,,0.0,0.0,0.0,,001,0.0
2025-11-01,EMPANADA DE FRANGO 140G,,0.0,0.0,0.0,,001,0.0
2025-11-01,EMPADA DE FRANGO,,0.0,0.0,0.0,,001,0.0
2025-11-01,PAO DE QUEIJO LANCHE JA ASSADO 60G,,0.0,0.0,0.0,,001,0.0
2025-11-01,COXINHA DE FRANGO COM REQUEIJAO,,18.0,16.0,47.06,,001,35.31999999999999
2025-11-01,MEDIALUNA DE MANTEIGA 40G,,0.0,0.0,0.0,,001,0.0
2025-11-01,FOLHADO DE PEITO DE PERU COM QUEIJO,,4.0,12.0,75.0,,001,-34.279999999999994
2025-11-01,DONUT DE CHOCOLATE AO LEITE 75G,,3.0,0.0,0.0,,001,14.07
2025-11-01,DONUT CRCTE DOCE DE LEITE 75G,,2.0,0.0,0.0,,001,9.38
2025-11-01,DONUT FRUTAS VERMELHAS 75G,,0.0,0.0,0.0,,001,0.0
